Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
70,0.7319,0.7319,0.7319,0.7319,0.7319,0.7319,0.7322,0.7327,0.7329,0.7333,0.7334,0.7337,0.7342,0.7353,0.7353,0.7353,0.7353,0.7353,0.7353,0.7353
71,0.7230,0.7230,0.7230,0.7230,0.7230,0.7230,0.7235,0.7241,0.7245,0.7252,0.7253,0.7257,0.7262,0.7272,0.7272,0.7272,0.7272,0.7272,0.7272,0.7272
72,0.7134,0.7134,0.7134,0.7134,0.7134,0.7134,0.7140,0.7149,0.7154,0.7164,0.7166,0.7170,0.7176,0.7185,0.7185,0.7185,0.7185,0.7185,0.7185,0.7185
73,0.7031,0.7031,0.7031,0.7031,0.7031,0.7031,0.7039,0.7050,0.7056,0.7069,0.7071,0.7076,0.7082,0.7091,0.7091,0.7091,0.7091,0.7091,0.7091,0.7091
74,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6932,0.6944,0.6951,0.6967,0.6969,0.6975,0.6982,0.6990,0.6990,0.6990,0.6990,0.6990,0.6990,0.6990
75,0.6808,0.6808,0.6808,0.6808,0.6808,0.6808,0.6818,0.6832,0.6840,0.6858,0.6860,0.6867,0.6874,0.6882,0.6882,0.6882,0.6882,0.6882,0.6882,0.6882
76,0.6687,0.6687,0.6687,0.6687,0.6687,0.6687,0.6698,0.6713,0.6722,0.6742,0.6744,0.6751,0.6760,0.6766,0.6766,0.6766,0.6766,0.6766,0.6766,0.6766
77,0.6559,0.6559,0.6559,0.6559,0.6559,0.6559,0.6571,0.6588,0.6597,0.6619,0.6622,0.6629,0.6638,0.6644,0.6644,0.6644,0.6644,0.6644,0.6644,0.6644
78,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6438,0.6456,0.6466,0.6489,0.6492,0.6500,0.6510,0.6515,0.6515,0.6515,0.6515,0.6515,0.6515,0.6515
79,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285,0.6299,0.6317,0.6328,0.6353,0.6356,0.6364,0.6374,0.6379,0.6379,0.6379,0.6379,0.6379,0.6379,0.6379
80,0.6138,0.6138,0.6138,0.6138,0.6138,0.6138,0.6152,0.6172,0.6183,0.6209,0.6212,0.6221,0.6231,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236,0.6236
81,0.5985,0.5985,0.5985,0.5985,0.5985,0.5985,0.6000,0.6020,0.6032,0.6059,0.6062,0.6071,0.6082,0.6085,0.6085,0.6085,0.6085,0.6085,0.6085,0.6085
82,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.5841,0.5861,0.5874,0.5901,0.5905,0.5914,0.5925,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928
83,0.5660,0.5660,0.5660,0.5660,0.5660,0.5660,0.5675,0.5696,0.5709,0.5737,0.5740,0.5750,0.5761,0.5764,0.5764,0.5764,0.5764,0.5764,0.5764,0.5764
84,0.5488,0.5488,0.5488,0.5488,0.5488,0.5488,0.5503,0.5524,0.5537,0.5566,0.5569,0.5579,0.5590,0.5593,0.5593,0.5593,0.5593,0.5593,0.5593,0.5593
85,0.5309,0.5309,0.5309,0.5309,0.5309,0.5309,0.5324,0.5346,0.5359,0.5388,0.5391,0.5401,0.5412,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415,0.5415
86,0.5124,0.5124,0.5124,0.5124,0.5124,0.5124,0.5139,0.5161,0.5174,0.5203,0.5206,0.5216,0.5227,0.5229,0.5229,0.5229,0.5229,0.5229,0.5229,0.5229
